product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0532,MODIAN 925 Sterling Silver Luxury Sparkle Round Clear Cubic Zirconia Eternity Band Rings For Women Wedding Fine Jewelry,Gem Color: Rhr1948 • Ring Size: 5,https://i.ibb.co/R445NQ8Q/0532-modian-925-sterling-silver-luxury-sparkle-round-cl-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0532,MODIAN 925 Sterling Silver Luxury Sparkle Round Clear Cubic Zirconia Eternity Band Rings For Women Wedding Fine Jewelry,Gem Color: Rhr1948 • Ring Size: 6,https://i.ibb.co/R445NQ8Q/0532-modian-925-sterling-silver-luxury-sparkle-round-cl-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0532,MODIAN 925 Sterling Silver Luxury Sparkle Round Clear Cubic Zirconia Eternity Band Rings For Women Wedding Fine Jewelry,Gem Color: Rhr1948 • Ring Size: 7,https://i.ibb.co/R445NQ8Q/0532-modian-925-sterling-silver-luxury-sparkle-round-cl-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0532,MODIAN 925 Sterling Silver Luxury Sparkle Round Clear Cubic Zirconia Eternity Band Rings For Women Wedding Fine Jewelry,Gem Color: Rhr1948 • Ring Size: 8,https://i.ibb.co/R445NQ8Q/0532-modian-925-sterling-silver-luxury-sparkle-round-cl-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0532,MODIAN 925 Sterling Silver Luxury Sparkle Round Clear Cubic Zirconia Eternity Band Rings For Women Wedding Fine Jewelry,Gem Color: Rhr1948 • Ring Size: 9,https://i.ibb.co/R445NQ8Q/0532-modian-925-sterling-silver-luxury-sparkle-round-cl-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0533,MODIAN 925 Sterling Silver Luxury Sparkling Heart Clear CZ Adjustable Chain Bracelet For Women Handmade Basic Fine Jewelry,,https://i.ibb.co/n81YfyPM/0533-modian-925-sterling-silver-luxury-sparkling-heart-webp.webp,"₦53,976","₦70,900","₦16,924",matched
PROD-0534,MODIAN 925 Sterling Silver Luxury Sparkling Kite Zirconia Swings Stud Earrings For Women Fine Jewelry Accessories,,https://i.ibb.co/84M3pmTX/0534-modian-925-sterling-silver-luxury-sparkling-kite-z-webp.webp,"₦35,360","₦49,900","₦14,540",matched
PROD-0535,MODIAN 925 Sterling Silver Luxury Sparkling Simulated Diamond Rings For Women Wedding Engagement Statement Band Fine Jewelry,Gem Color: Rhr1721 • Ring Size: 5,https://i.ibb.co/6zHR712/0535-modian-925-sterling-silver-luxury-sparkling-simula-webp.webp,"₦46,140","₦61,500","₦15,360",matched_variant
PROD-0535,MODIAN 925 Sterling Silver Luxury Sparkling Simulated Diamond Rings For Women Wedding Engagement Statement Band Fine Jewelry,Gem Color: Rhr1721 • Ring Size: 6,https://i.ibb.co/6zHR712/0535-modian-925-sterling-silver-luxury-sparkling-simula-webp.webp,"₦46,140","₦61,500","₦15,360",matched_variant
PROD-0535,MODIAN 925 Sterling Silver Luxury Sparkling Simulated Diamond Rings For Women Wedding Engagement Statement Band Fine Jewelry,Gem Color: Rhr1721 • Ring Size: 7,https://i.ibb.co/6zHR712/0535-modian-925-sterling-silver-luxury-sparkling-simula-webp.webp,"₦46,140","₦61,500","₦15,360",matched_variant
PROD-0535,MODIAN 925 Sterling Silver Luxury Sparkling Simulated Diamond Rings For Women Wedding Engagement Statement Band Fine Jewelry,Gem Color: Rhr1721 • Ring Size: 8,https://i.ibb.co/6zHR712/0535-modian-925-sterling-silver-luxury-sparkling-simula-webp.webp,"₦46,140","₦61,500","₦15,360",matched_variant
PROD-0535,MODIAN 925 Sterling Silver Luxury Sparkling Simulated Diamond Rings For Women Wedding Engagement Statement Band Fine Jewelry,Gem Color: Rhr1721 • Ring Size: 9,https://i.ibb.co/6zHR712/0535-modian-925-sterling-silver-luxury-sparkling-simula-webp.webp,"₦46,140","₦61,500","₦15,360",matched_variant
PROD-0536,MODIAN 925 Sterling Silver Luxury Square Zirconia Finger Ring Fashion Stackable Eternity Band Rings For Women Fine Jewelry,Gem Color: Rhr1783 • Ring Size: 5,https://i.ibb.co/49DnF9b/0536-modian-925-sterling-silver-luxury-square-zirconia-webp.webp,"₦50,566","₦65,900","₦15,334",matched_variant
PROD-0536,MODIAN 925 Sterling Silver Luxury Square Zirconia Finger Ring Fashion Stackable Eternity Band Rings For Women Fine Jewelry,Gem Color: Rhr1783 • Ring Size: 6,https://i.ibb.co/49DnF9b/0536-modian-925-sterling-silver-luxury-square-zirconia-webp.webp,"₦50,566","₦65,900","₦15,334",matched_variant
PROD-0536,MODIAN 925 Sterling Silver Luxury Square Zirconia Finger Ring Fashion Stackable Eternity Band Rings For Women Fine Jewelry,Gem Color: Rhr1783 • Ring Size: 7,https://i.ibb.co/49DnF9b/0536-modian-925-sterling-silver-luxury-square-zirconia-webp.webp,"₦50,566","₦65,900","₦15,334",matched_variant
PROD-0536,MODIAN 925 Sterling Silver Luxury Square Zirconia Finger Ring Fashion Stackable Eternity Band Rings For Women Fine Jewelry,Gem Color: Rhr1783 • Ring Size: 8,https://i.ibb.co/49DnF9b/0536-modian-925-sterling-silver-luxury-square-zirconia-webp.webp,"₦50,566","₦65,900","₦15,334",matched_variant
PROD-0536,MODIAN 925 Sterling Silver Luxury Square Zirconia Finger Ring Fashion Stackable Eternity Band Rings For Women Fine Jewelry,Gem Color: Rhr1783 • Ring Size: 9,https://i.ibb.co/49DnF9b/0536-modian-925-sterling-silver-luxury-square-zirconia-webp.webp,"₦50,566","₦65,900","₦15,334",matched_variant
PROD-0537,MODIAN 925 Sterling Silver Luxury Sweet Rectangle Colorful CZ Eternity Band Ring For Women Party Stackable Fine Jewelry,Gem Color: Rhr1905 • Ring Size: 5,https://i.ibb.co/fz5VfQgC/0537-modian-925-sterling-silver-luxury-sweet-rectangle-webp.webp,"₦54,690","₦70,900","₦16,210",matched_variant
PROD-0537,MODIAN 925 Sterling Silver Luxury Sweet Rectangle Colorful CZ Eternity Band Ring For Women Party Stackable Fine Jewelry,Gem Color: Rhr1905 • Ring Size: 6,https://i.ibb.co/fz5VfQgC/0537-modian-925-sterling-silver-luxury-sweet-rectangle-webp.webp,"₦54,690","₦70,900","₦16,210",matched_variant
PROD-0537,MODIAN 925 Sterling Silver Luxury Sweet Rectangle Colorful CZ Eternity Band Ring For Women Party Stackable Fine Jewelry,Gem Color: Rhr1905 • Ring Size: 7,https://i.ibb.co/fz5VfQgC/0537-modian-925-sterling-silver-luxury-sweet-rectangle-webp.webp,"₦54,690","₦70,900","₦16,210",matched_variant
PROD-0537,MODIAN 925 Sterling Silver Luxury Sweet Rectangle Colorful CZ Eternity Band Ring For Women Party Stackable Fine Jewelry,Gem Color: Rhr1905 • Ring Size: 8,https://i.ibb.co/fz5VfQgC/0537-modian-925-sterling-silver-luxury-sweet-rectangle-webp.webp,"₦54,690","₦70,900","₦16,210",matched_variant
PROD-0537,MODIAN 925 Sterling Silver Luxury Sweet Rectangle Colorful CZ Eternity Band Ring For Women Party Stackable Fine Jewelry,Gem Color: Rhr1905 • Ring Size: 9,https://i.ibb.co/fz5VfQgC/0537-modian-925-sterling-silver-luxury-sweet-rectangle-webp.webp,"₦54,690","₦70,900","₦16,210",matched_variant
PROD-0538,MODIAN 925 Sterling Silver Luxury Vintage Pendant Necklace Turquoise Blue Clear CZ Link Chain For Women Fine Jewelry Gifts,Gem Color: Gold Color,https://i.ibb.co/vxPKHgqL/0538-modian-925-sterling-silver-luxury-vintage-pendant-webp.webp,"₦70,042","₦88,900","₦18,858",matched_variant
PROD-0538,MODIAN 925 Sterling Silver Luxury Vintage Pendant Necklace Turquoise Blue Clear CZ Link Chain For Women Fine Jewelry Gifts,Gem Color: Silver Color,https://i.ibb.co/vxPKHgqL/0538-modian-925-sterling-silver-luxury-vintage-pendant-webp.webp,"₦70,042","₦88,900","₦18,858",matched_variant
PROD-0539,MODIAN 925 Sterling Silver Luxury Water Drop Blue Red Zirconia Pendant Necklace Classic Link Chain For Women Wedding Jewelry,Gem Color: Rhn1443,https://i.ibb.co/QsfPNMw/0539-modian-925-sterling-silver-luxury-water-drop-blue-webp.webp,"₦47,803","₦63,500","₦15,697",matched_variant
PROD-0539,MODIAN 925 Sterling Silver Luxury Water Drop Blue Red Zirconia Pendant Necklace Classic Link Chain For Women Wedding Jewelry,Gem Color: Rhn1444R,https://i.ibb.co/QsfPNMw/0539-modian-925-sterling-silver-luxury-water-drop-blue-webp.webp,"₦47,803","₦63,500","₦15,697",matched_variant
